Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP002448,0,1,0,1,0,3948,1733,149,360,0,0,0
LP002449,0,1,0,1,0,2483,2466,90,180,0,0,1
LP002453,0,0,0,1,1,7085,0,84,360,1,0,1
LP002455,0,1,2,1,0,3859,0,96,360,1,1,1
LP002459,0,1,0,1,0,4301,0,118,360,1,1,1
LP002467,0,1,0,1,0,3708,2569,173,360,1,1,0
LP002472,0,0,2,1,0,4354,0,136,360,1,0,1
LP002473,0,1,0,1,0,8334,0,160,360,1,0,0
LP002478,1,1,0,1,1,2083,4083,160,360,0,0,1
LP002484,0,1,3,1,0,7740,0,128,180,1,1,1
LP002487,0,1,0,1,0,3015,2188,153,360,1,0,1
LP002489,1,0,1,0,0,5191,0,132,360,1,0,1
LP002493,0,0,0,1,0,4166,0,98,360,0,1,0
LP002494,0,0,0,1,0,6000,0,140,360,1,0,1
LP002500,0,1,3,0,0,2947,1664,70,180,0,1,0
LP002501,1,1,0,1,0,16692,0,110,360,1,0,1
LP002502,1,1,2,0,0,210,2917,98,360,1,1,1
LP002505,0,1,0,1,0,4333,2451,110,360,1,1,0
LP002515,0,1,1,1,1,3450,2079,162,360,1,0,1
LP002517,0,1,1,0,0,2653,1500,113,180,0,0,0
LP002519,0,1,3,1,0,4691,0,100,360,1,1,1
LP002522,1,0,0,1,1,2500,0,93,360,1,1,1
LP002524,0,0,2,1,0,5532,4648,162,360,1,0,1
LP002527,0,1,2,1,1,16525,1014,150,360,1,0,1
LP002529,0,1,2,1,0,6700,1750,230,300,1,0,1
LP002530,1,1,2,1,0,2873,1872,132,360,0,1,0
LP002531,0,1,1,1,1,16667,2250,86,360,1,0,1
LP002533,0,1,2,1,0,2947,1603,389,360,1,1,0
LP002534,1,0,0,0,0,4350,0,154,360,1,0,1
LP002536,0,1,3,0,0,3095,0,113,360,1,0,1
LP002537,0,1,0,1,0,2083,3150,128,360,1,1,1
LP002541,0,1,0,1,0,10833,0,234,360,1,1,1
LP002543,0,1,2,1,0,8333,0,246,360,1,0,1
LP002544,0,1,1,0,0,1958,2436,131,360,1,0,1
LP002545,0,0,2,1,0,3547,0,80,360,0,0,0
LP002547,0,1,1,1,0,18333,0,500,360,1,1,0
LP002555,0,1,2,1,1,4583,2083,160,360,1,1,1
LP002556,0,0,0,1,0,2435,0,75,360,1,1,0
LP002560,0,0,0,0,0,2699,2785,96,360,1,0,1
LP002562,0,1,1,0,0,5333,1131,186,360,0,1,1
LP002571,0,0,0,0,0,3691,0,110,360,1,0,1
LP002582,1,0,0,0,1,17263,0,225,360,1,1,1
LP002585,0,1,0,1,0,3597,2157,119,360,0,0,0
LP002586,1,1,1,1,0,3326,913,105,84,1,1,1
LP002587,0,1,0,0,0,2600,1700,107,360,1,0,1
LP002588,0,1,0,1,0,4625,2857,111,12,0,1,1
LP002600,0,1,1,1,1,2895,0,95,360,1,0,1
LP002602,0,0,0,1,0,6283,4416,209,360,0,0,0
LP002603,1,0,0,1,0,645,3683,113,480,1,0,1
LP002606,1,0,0,1,0,3159,0,100,360,1,0,1
LP002615,0,1,2,1,0,4865,5624,208,360,1,1,1
LP002618,0,1,1,0,0,4050,5302,138,360,1,0,0
LP002619,0,1,0,0,0,3814,1483,124,300,1,0,1
LP002622,0,1,2,1,0,3510,4416,243,360,1,0,1
LP002624,0,1,0,1,0,20833,6667,480,360,1,1,1
LP002625,1,0,0,1,0,3583,0,96,360,1,1,0
LP002626,0,1,0,1,1,2479,3013,188,360,1,1,1
LP002634,1,0,1,1,0,13262,0,40,360,1,1,1
LP002637,0,0,0,0,0,3598,1287,100,360,1,0,0
LP002640,0,1,1,1,0,6065,2004,250,360,1,1,1
LP002643,0,1,2,1,0,3283,2035,148,360,1,1,1
LP002648,0,1,0,1,0,2130,6666,70,180,1,1,0
LP002652,0,0,0,1,0,5815,3666,311,360,1,0,0
LP002659,0,1,3,1,0,3466,3428,150,360,1,0,1
LP002670,1,1,2,1,0,2031,1632,113,480,1,0,1
LP002682,0,1,2,0,0,3074,1800,123,360,0,0,0
LP002683,0,0,0,1,0,4683,1915,185,360,1,1,0
LP002684,1,0,0,0,0,3400,0,95,360,1,0,0
LP002689,0,1,2,0,0,2192,1742,45,360,1,1,1
LP002690,0,0,0,1,0,2500,0,55,360,1,0,1
LP002692,0,1,3,1,1,5677,1424,100,360,1,0,1
LP002693,0,1,2,1,1,7948,7166,480,360,1,0,1
LP002697,0,0,0,1,0,4680,2087,69,360,1,1,0
LP002699,0,1,2,1,1,17500,0,400,360,1,0,1
LP002705,0,1,0,1,0,3775,0,110,360,1,0,1
LP002706,0,1,1,0,0,5285,1430,161,360,0,0,1
LP002714,0,0,1,0,0,2679,1302,94,360,1,1,1
LP002716,0,0,0,0,0,6783,0,130,360,1,0,1
LP002717,0,1,0,1,0,1025,5500,216,360,0,0,1
LP002720,0,1,3,1,0,4281,0,100,360,1,1,1
LP002723,0,0,2,1,0,3588,0,110,360,0,0,0
LP002729,0,0,1,1,0,11250,0,196,360,1,1,0
LP002731,1,0,0,0,1,18165,0,125,360,1,1,1
LP002732,0,0,0,0,0,2550,2042,126,360,1,0,1
LP002734,0,1,0,1,0,6133,3906,324,360,1,1,1
LP002738,0,0,2,1,0,3617,0,107,360,1,1,1
LP002739,0,1,0,0,0,2917,536,66,360,1,0,0
LP002740,0,1,3,1,0,6417,0,157,180,1,0,1
LP002741,1,1,1,1,0,4608,2845,140,180,1,0,1
LP002743,1,0,0,1,0,2138,0,99,360,0,1,0
LP002753,1,0,1,1,1,3652,0,95,360,1,0,1
LP002755,0,1,1,0,0,2239,2524,128,360,1,1,1
LP002757,1,1,0,0,0,3017,663,102,360,1,1,1
LP002767,0,1,0,1,0,2768,1950,155,360,1,0,1
LP002768,0,0,0,0,0,3358,0,80,36,1,0,0
LP002772,0,0,0,1,0,2526,1783,145,360,1,0,1
LP002776,1,0,0,1,0,5000,0,103,360,0,1,0
LP002777,0,1,0,1,0,2785,2016,110,360,1,0,1
LP002778,0,1,2,1,1,6633,0,698,360,0,0,0
LP002784,0,1,1,0,0,2492,2375,266,360,1,0,1
LP002785,0,1,1,1,0,3333,3250,158,360,1,1,1
LP002788,0,1,0,0,0,2454,2333,181,360,0,1,0
LP002789,0,1,0,1,0,3593,4266,132,180,0,0,0
LP002792,0,1,1,1,0,5468,1032,26,360,1,0,1
LP002794,1,0,0,1,0,2667,1625,84,360,1,1,1
LP002795,0,1,3,1,1,10139,0,260,360,1,0,1
LP002798,0,1,0,1,0,3887,2669,162,360,1,0,1
LP002804,1,1,0,1,0,4180,2306,182,360,1,1,1
LP002807,0,1,2,0,0,3675,242,108,360,1,1,1
LP002813,1,1,1,1,1,19484,0,600,360,1,0,1
LP002820,0,1,0,1,0,5923,2054,211,360,1,0,1
LP002821,0,0,0,0,1,5800,0,132,360,1,1,1
LP002832,0,1,2,1,0,8799,0,258,360,0,1,0
LP002833,0,1,0,0,0,4467,0,120,360,0,0,1
LP002836,0,0,0,1,0,3333,0,70,360,1,1,1
LP002837,0,1,3,1,0,3400,2500,123,360,0,0,0
LP002840,1,0,0,1,0,2378,0,9,360,1,1,0
LP002841,0,1,0,1,0,3166,2064,104,360,0,1,0
LP002842,0,1,1,1,0,3417,1750,186,360,1,1,1
LP002847,0,1,1,1,0,5116,1451,165,360,0,1,0
LP002855,0,1,2,1,0,16666,0,275,360,1,1,1
LP002862,0,1,2,0,0,6125,1625,187,480,1,1,0
LP002863,0,1,3,1,0,6406,0,150,360,1,1,0
LP002868,0,1,2,1,0,3159,461,108,84,1,1,1
LP002872,1,1,0,1,0,3087,2210,136,360,0,0,0
LP002874,0,0,0,1,0,3229,2739,110,360,1,1,1
LP002877,0,1,1,1,0,1782,2232,107,360,1,0,1
LP002888,0,0,0,1,0,3182,2917,161,360,1,1,1
LP002892,0,1,2,1,0,6540,0,205,360,1,0,1
LP002893,0,0,0,1,0,1836,33837,90,360,1,1,0
LP002894,1,1,0,1,0,3166,0,36,360,1,1,1
LP002898,0,1,1,1,0,1880,0,61,360,1,0,0
LP002911,0,1,1,1,0,2787,1917,146,360,0,0,0
LP002912,0,1,1,1,0,4283,3000,172,84,1,0,0
LP002916,0,1,0,1,0,2297,1522,104,360,1,1,1
LP002917,1,0,0,0,0,2165,0,70,360,1,0,1
LP002925,1,0,0,1,0,4750,0,94,360,1,0,1
LP002926,0,1,2,1,1,2726,0,106,360,0,1,0
LP002928,0,1,0,1,0,3000,3416,56,180,1,1,1
LP002931,0,1,2,1,1,6000,0,205,240,1,1,0
LP002933,1,0,3,1,1,9357,0,292,360,1,0,1
LP002936,0,1,0,1,0,3859,3300,142,180,1,0,1
LP002938,0,1,0,1,1,16120,0,260,360,1,1,1
LP002940,0,0,0,0,0,3833,0,110,360,1,0,1
LP002941,0,1,2,0,1,6383,1000,187,360,1,0,0
LP002943,0,0,2,1,0,2987,0,88,360,0,0,0
LP002945,0,1,0,1,1,9963,0,180,360,1,0,1
LP002948,0,1,2,1,0,5780,0,192,360,1,1,1
LP002949,1,0,3,1,1,416,41667,350,180,0,1,0
LP002950,0,1,0,0,1,2894,2792,155,360,1,0,1
LP002953,0,1,3,1,0,5703,0,128,360,1,1,1
LP002958,0,0,0,1,0,3676,4301,172,360,1,0,1
LP002959,1,1,1,1,0,12000,0,496,360,1,1,1
LP002960,0,1,0,0,0,2400,3800,1200,180,1,1,0
LP002961,0,1,1,1,0,3400,2500,173,360,1,1,1
LP002964,0,1,2,0,0,3987,1411,157,360,1,0,1
LP002974,0,1,0,1,0,3232,1950,108,360,1,0,1
LP002978,1,0,0,1,0,2900,0,71,360,1,0,1
LP002979,0,1,3,1,0,4106,0,40,180,1,0,1
LP002983,0,1,1,1,0,8072,240,253,360,1,1,1
LP002984,0,1,2,1,0,7583,0,187,360,1,1,1
LP002990,1,0,0,1,1,4583,0,133,360,0,1,0
